gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0.0141608370327475,0.00274531182034997,0.0218071319230899,0.194399166778629,0.845863342290089,0.99997452754828
AL627309.1,2.21531853787895,0.103911064166924,0.0916073650544418,1.22690792556923,0.219857199369936,0.99997452754828
AL627309.3,0.0205775836119805,0.0032086944892118,0.0218158623055085,0.222723772127226,0.823750498560742,0.99997452754828
AL627309.5,9.09440318228604,0.0926805256739136,0.115196956471002,0.849668747770792,0.395509278398209,0.99997452754828
AP006222.2,0.178335653828559,0.00600603324051966,0.0218787738486594,0.417969303862582,0.675969560475297,0.99997452754828
AL669831.2,0.0432890627440129,0.00467628457810074,0.021847763314714,0.310385235317826,0.756268020613944,0.99997452754828
LINC01409,37.2650863491979,-0.0660358987112721,0.121464401981748,-0.547418645226677,0.584091148560829,0.99997452754828
FAM87B,0.137499595426284,0.00120758039901694,0.0221582534504171,0.0814944894633931,0.935048707075206,0.99997452754828
LINC01128,17.0360953664993,-0.0901341050241418,0.128874702212686,-0.686903532682136,0.49214352062919,0.99997452754828
LINC00115,4.12970377942502,-0.00312920734507821,0.0991610458555868,-0.0321965359064619,0.974315318694768,0.99997452754828
FAM41C,5.17844992706209,0.0287635213912039,0.114178709387968,0.261295843583257,0.793864371606311,0.99997452754828
AL645608.6,0.0455262918256943,0.00103180647611092,0.0218495076110528,0.0673967709060159,0.946265839789578,0.99997452754828
AL645608.2,0.0300046735856564,0.00264093826868885,0.0218292277511392,0.171660663481828,0.863704312668332,0.99997452754828
LINC02593,0.171973770571714,9.78029019198058e-05,0.0218329910231903,0.00782507679418607,0.993756555755137,0.99997452754828
SAMD11,0.604302301460732,0.0545548545914208,0.0594094994675199,1.08433569353273,0.278215984821895,0.99997452754828
NOC2L,68.8976683151288,0.048135579140977,0.123262423750928,0.3935943294734,0.693880568419604,0.99997452754828
KLHL17,15.1830587388578,0.222420272957358,0.124720844583554,1.83357756087784,0.0667167256289204,0.99997452754828
PLEKHN1,0.00767585840386649,0.00072109563916777,0.0217967943173121,0.0518958171910289,0.958611707184715,0.99997452754828
PERM1,0.0870276168792845,0.00351026720838388,0.0218729963242287,0.237377829369522,0.812363687856003,0.99997452754828
AL645608.7,0.280524887339214,-0.00587709728604766,0.0347902532276306,-0.250174566569891,0.802452352926904,0.99997452754828
HES4,8.98973045288815,-0.17204177272492,0.09943244875702,-1.72365953128322,0.0847693247278538,0.99997452754828
ISG15,3.66463518071092,0.0865918138222082,0.0831707739265132,1.0322498097169,0.301955106586601,0.99997452754828
AL645608.1,0.228991839229859,0.00214001657774016,0.0218815759584148,0.170631203408285,0.86451376095058,0.99997452754828
AGRN,77.9386111520758,-0.0179207342807649,0.11231995822557,-0.159295739801921,0.873435877049401,0.99997452754828
RNF223,0.0973646312534849,0.00149243586139879,0.021857910120369,0.10807732967644,0.913934351099914,0.99997452754828
C1orf159,62.3694693557496,-0.117405570120444,0.128679839822438,-0.911645661003741,0.361955277443689,0.99997452754828
AL390719.3,9.59230864276189,-0.0872697022973355,0.102568099872828,-0.843641449229414,0.398869794950895,0.99997452754828
LINC01342,0.0780538081462103,0.0032048397540811,0.0218858993234936,0.192774859167838,0.847135293637202,0.99997452754828
AL390719.2,0.0792805891458872,0.00232257141004286,0.0218855226007227,0.168075644782783,0.86652376941213,0.99997452754828
TTLL10,0.182792330490451,0.0116981023048597,0.0409883958647805,0.362663907056533,0.716855964643887,0.99997452754828
TNFRSF18,2.1924475860133,0.0637980573087224,0.0762889564708392,0.920585954394439,0.357266638052431,0.99997452754828
TNFRSF4,0.657060161963196,0.00340299452607217,0.0589479547157504,0.0606161563649561,0.951664906266239,0.99997452754828
SDF4,89.7938453129056,-0.089809769505748,0.110577847892028,-0.811018604936235,0.417354986534648,0.99997452754828
B3GALT6,14.8755690936007,0.129899645013531,0.127253598839031,1.01878302908409,0.308305984349492,0.99997452754828
C1QTNF12,3.25209984261663,0.0391668006454377,0.0968385467355969,0.446262867889871,0.655407375171396,0.99997452754828
AL162741.1,0.186740374045518,0.00210654748176674,0.0359030205080576,0.0806243752192457,0.935740680684734,0.99997452754828
UBE2J2,57.7401492117341,0.0227846936938586,0.109490440354724,0.207660477876632,0.835494079000867,0.99997452754828
LINC01786,2.4131135393387,-0.0305585905540024,0.0961945249580273,-0.317521352794497,0.750848039901179,0.99997452754828
SCNN1D,42.6317363771746,0.0927086816882405,0.126209054069842,0.737060116594192,0.461085791809327,0.99997452754828
ACAP3,438.734761314204,0.0326850072646736,0.118478374151447,0.276923291314675,0.781839007830995,0.99997452754828
PUSL1,9.79522517949812,-0.0897587649526931,0.128269923882744,-0.7002231527177,0.483787954703595,0.99997452754828
INTS11,149.273597311981,0.108169453165635,0.106401510236891,1.01826878185379,0.30855023996472,0.99997452754828
AL139287.1,0.358414751418676,0.012146087100284,0.0422836598376844,0.379280017002147,0.704479937188503,0.99997452754828
CPTP,16.0209033322986,0.0508612256035204,0.128052591220708,0.401454561898021,0.688085485335071,0.99997452754828
TAS1R3,0.630728896976231,0.0109279660107513,0.0564944100368265,0.272004889741359,0.785618259583979,0.99997452754828
DVL1,71.5322934494883,-0.0233239089356281,0.118715902923434,-0.196371464303682,0.844319429602878,0.99997452754828
MXRA8,0.771940820834251,-0.00598430528472025,0.062809547490468,-0.10578713699584,0.915751242709399,0.99997452754828
AURKAIP1,70.0839441908945,-0.0141159439554969,0.128261215412893,-0.109281851197867,0.912978941020977,0.99997452754828
CCNL2,192.201454413997,-0.0424095392422192,0.110442026940392,-0.384682595936208,0.700472591218439,0.99997452754828
MRPL20-AS1,6.74092469397381,-0.16800117652168,0.122926676852293,-1.35352913319833,0.175886649366767,0.99997452754828
MRPL20,52.0196866416914,0.00159328030102336,0.128684828845948,0.0122711756488533,0.99020926412519,0.99997452754828
AL391244.2,11.9566877892156,-0.141166510939778,0.12348964123837,-1.17370202178,0.240514400166218,0.99997452754828
ANKRD65,73.7234079552369,0.0384896293451991,0.128784073548987,0.297651786177589,0.76596894530732,0.99997452754828
