gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MIR1302-2HG,0.740785712382029,-0.00793389232781048,0.105668042604126,-0.0808666865976892,0.935547973412872,0.999752538202492
AL627309.1,78.0854107351717,0.227313515657216,0.185047608432132,1.23485180799585,0.216885661842738,0.999752538202492
AL627309.3,1.27748998562907,0.0699079886878687,0.136396016133563,0.525236908732719,0.599418510159086,0.999752538202492
AL627309.2,1.12867365997761,-0.249964436135218,0.122723843349461,-2.09244811235923,0.0363984487433342,0.999752538202492
AL627309.5,59.5600634095022,-0.190339811526255,0.164578305908969,-1.15719662154624,0.247192037734814,0.999752538202492
AP006222.2,7.80034543574953,-0.0686714434899265,0.178461019743721,-0.3797563012852,0.704126322973071,0.999752538202492
AC114498.1,3.11584185112222,-0.170441325632533,0.149888620166631,-1.10940813289834,0.267254155463256,0.999752538202492
AL669831.2,0.591763814418713,-0.00562842650372561,0.0917930749884481,-0.0632932408294218,0.949532998010207,0.999752538202492
LINC01409,635.260126926746,-0.0896204025644374,0.142072376019823,-0.630609738236968,0.528295729898628,0.999752538202492
FAM87B,3.61334699004783,-0.160692403945898,0.14975099587835,-1.03355387383011,0.30134477252296,0.999752538202492
LINC01128,201.033872807224,-0.225279230872395,0.174160925239839,-1.29445835015584,0.195507146841026,0.999752538202492
LINC00115,56.9276183743293,-0.0667366759214916,0.187132358939133,-0.35656300666756,0.721418975781984,0.999752538202492
FAM41C,5.4958175912265,-0.22998556799937,0.182105118767573,-1.24601836345832,0.212757653551955,0.999752538202492
AL645608.6,27.6958130647555,0.323421885295525,0.185446076140974,1.73986051489952,0.0818835134174505,0.999752538202492
LINC02593,37.8737882791373,0.327406038525976,0.186310057894176,1.8019430443154,0.0715543670070611,0.999752538202492
SAMD11,229.842677866753,0.610684592655188,0.184339315209285,3.35029957658937,0.000807242038962646,0.462283324832909
NOC2L,354.795482490807,-0.315039448487247,0.182354166756328,-1.72247923288122,0.0849827415750804,0.999752538202492
KLHL17,100.739114235654,-0.0283817083026373,0.187128806752069,-0.151135417941714,0.879868893910606,0.999752538202492
PLEKHN1,3.2443799318294,0.0369027357500165,0.129134177864635,0.319384063650759,0.749435293898535,0.999752538202492
PERM1,7.66393462648115,-0.0546045936852831,0.150905448786911,-0.355342507938276,0.72233301388531,0.999752538202492
AL645608.7,20.6319223538403,-0.420335218649807,0.164624811185117,-2.50697001862922,0.0121771039937465,0.996188587081468
HES4,434.159381097303,-0.371740222211721,0.18522777683959,-1.98512880883329,0.047130142322888,0.999752538202492
ISG15,98.3664721450535,-1.70809888949009,0.187297413565639,-0.0456267151304811,0.963607775746466,0.999752538202492
AL645608.1,5.17603299962298,-0.271803680156434,0.154816543024157,-1.70156079775086,0.0888377316052791,0.999752538202492
AGRN,47.2364728341522,0.124154931621421,0.174503174515282,0.711292179963861,0.476903196493961,0.999752538202492
C1orf159,645.878283693041,-0.112850269694967,0.142140982319405,-0.794012167978853,0.427188347668144,0.999752538202492
AL390719.3,33.0811860093781,-0.099689442252763,0.187251124909122,-0.52578124825971,0.599040204713928,0.999752538202492
LINC01342,2.17292925825523,-0.131631622042903,0.163001907059966,-0.830855110481992,0.40605548521425,0.999752538202492
AL390719.2,0.612633617113283,-0.0143360908257598,0.104777755220647,-0.138083007650631,0.890174815054443,0.999752538202492
TTLL10-AS1,0.187906295840851,0.0110351786850726,0.0447062252480999,0.309954910993066,0.756595244653075,0.999752538202492
TTLL10,3.41013780999383,0.0526225181253345,0.17193310682822,0.30515935997819,0.760244783076205,0.999752538202492
TNFRSF18,0.533584802440301,-0.0216926204148157,0.0618476934723562,-0.4190652699091,0.67516843167466,0.999752538202492
TNFRSF4,2.55259156668715,-0.26752955508303,0.134423210408695,-1.97907701339757,0.0478073360686106,0.999752538202492
SDF4,530.623150852799,-0.143769085559134,0.154657671565493,-0.929217750461144,0.352776250185346,0.999752538202492
B3GALT6,91.4260830186979,-0.118348640566427,0.179046411325186,-0.659276933919188,0.509717951504588,0.999752538202492
C1QTNF12,19.1082907913866,-0.0572365548436913,0.18479106128672,-0.308182662995716,0.757943343808455,0.999752538202492
AL162741.1,1.45140314399671,0.0239380281554552,0.139074703669947,0.177560053237791,0.859068498838377,0.999752538202492
