gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,0.0980187942294458,-0.00471306474889607,0.128662951186272,-0.0380970154994879,0.969610330870828,0.999622655034924
AL627309.3,0,NA,NA,NA,NA,NA
AL627309.5,0.117265678218523,0.0092785341707526,0.177320820337339,0.0533474636412466,0.957455063499454,0.999622655034924
AP006222.2,0,NA,NA,NA,NA,NA
AL669831.2,0,NA,NA,NA,NA,NA
LINC01409,0.805603173630773,0.0787503592559831,0.308267612586479,0.25780377756175,0.796558348943692,0.999622655034924
FAM87B,0,NA,NA,NA,NA,NA
LINC01128,1.18748383929944,0.298591685494007,0.316634169632347,0.925343752858205,0.354787126711634,0.999622655034924
LINC00115,0.1568767837498,0.0500084435061851,0.187560519108199,0.288901893404628,0.772656454755999,0.999622655034924
FAM41C,0,NA,NA,NA,NA,NA
AL645608.6,0.399887277950138,-0.373115928587857,0.264300679756062,-1.32999971925733,0.183518363799513,0.999622655034924
AL645608.2,0.216395237675893,-0.0920108779023018,0.185702526317771,-0.459988023215196,0.645524817227944,0.999622655034924
LINC02593,0.250278893785156,0.106535250901703,0.216284176648341,0.489053546976342,0.624803787632984,0.999622655034924
SAMD11,0.944342374805233,0.173366874791875,0.25618178658465,0.638386960158944,0.523221817180882,0.999622655034924
NOC2L,0.991656419812393,-0.149585684557056,0.317526059911497,-0.46110607313356,0.644722504780817,0.999622655034924
KLHL17,0.736976939730721,0.240576602657277,0.309260854528196,0.766163062008915,0.44357928397026,0.999622655034924
PLEKHN1,0.105796297668584,-0.0454803534082186,0.146636912600698,-0.334424258213881,0.738059436713554,0.999622655034924
PERM1,0.0247565827540139,-0.0308232192440935,0.128662039321301,-0.242701307421084,0.80823679455637,0.999622655034924
AL645608.7,3.47935988205717,-0.464697318285208,0.317601414031522,-1.44507552439509,0.148436672995947,0.999622655034924
HES4,16.0964380517177,-0.306946865781897,0.260197602880345,-1.17812758824312,0.238745745061488,0.999622655034924
ISG15,3.01435552523835,-0.692638416389961,0.30825351861066,-2.21781089640478,0.0265677288575877,0.999622655034924
AL645608.1,0.0102660796532652,-0.0101373918738477,0.128656729271981,-0.0786598495006266,0.937303181940246,0.999622655034924
AGRN,9.97148717602327,-0.557782903168036,0.286343123360337,-1.94697902458681,0.0515372494258763,0.999622655034924
C1orf159,2.19276030129801,0.311971355575709,0.320367395331831,0.962463326390068,0.335816916630925,0.999622655034924
AL390719.3,0.0997559935916168,0.027455550970482,0.143869647759202,0.204659329965158,0.837838297743662,0.999622655034924
LINC01342,0,NA,NA,NA,NA,NA
AL390719.2,0,NA,NA,NA,NA,NA
TTLL10,0.0548942983239876,-0.0194246436004727,0.128685218974019,-0.164809791962831,0.869093696569909,0.999622655034924
TNFRSF18,0.0317253588559234,-0.00471306496472271,0.12866295118603,-0.0380970174594282,0.969610329308156,0.999622655034924
TNFRSF4,0,NA,NA,NA,NA,NA
SDF4,2.08814572943594,0.0830474634048115,0.316195520547197,0.261778695626431,0.793492064881163,0.999622655034924
B3GALT6,0.162352039825684,-0.00580909834024336,0.181533972301587,-0.029415744837635,0.976533015674003,0.999622655034924
C1QTNF12,0.0350226624072792,-0.0252378420645321,0.128668181236362,-0.189800622235069,0.849465368286279,0.999622655034924
AL162741.1,0,NA,NA,NA,NA,NA
UBE2J2,2.47518448780391,-0.112180235540651,0.315560645676458,-0.359033314434982,0.719570167224079,0.999622655034924
LINC01786,0.169872330209682,-0.0661858757905758,0.19042148486931,-0.380906285084114,0.703272788623223,0.999622655034924
SCNN1D,0.164590915694461,-0.0513954647064595,0.214563172548398,-0.247937390978692,0.804182849121292,0.999622655034924
ACAP3,2.47899043094041,-0.0320599651447635,0.319183478787276,-0.0991744613385504,0.920999751774519,0.999622655034924
PUSL1,0,NA,NA,NA,NA,NA
INTS11,3.17556737874567,0.517861321280227,0.30522408308715,1.66591400999848,0.0957305427561337,0.999622655034924
AL139287.1,0,NA,NA,NA,NA,NA
CPTP,0.23242143852155,0.000353468727345479,0.214846873178319,0.00173028303309533,0.998619434570948,0.999622655034924
TAS1R3,0,NA,NA,NA,NA,NA
DVL1,1.84541136459117,-0.0232221983589703,0.320695227740422,-0.073123915611147,0.941707510694847,0.999622655034924
MXRA8,2.21143631898248,-0.298728647716421,0.319809705710015,-0.926146768162483,0.354369711986406,0.999622655034924
AURKAIP1,1.22366660918129,-0.0957882706193523,0.317800722431502,-0.298779441423888,0.765108338202907,0.999622655034924
CCNL2,5.08878856934533,0.21076900633758,0.296328887802923,0.704938394224054,0.48084857538701,0.999622655034924
MRPL20-AS1,0,NA,NA,NA,NA,NA
MRPL20,1.86394691724247,-0.18299929121542,0.320989515979108,-0.58114282236982,0.561144199758935,0.999622655034924
AL391244.2,0.0915255141519497,-0.0194246436004727,0.128685218974019,-0.164809791962831,0.869093696569909,0.999622655034924
ANKRD65,0.0790397730970897,-0.0456541324149495,0.138227469421422,-0.331457097667675,0.740299242196516,0.999622655034924
AL391244.1,0,NA,NA,NA,NA,NA
TMEM88B,0,NA,NA,NA,NA,NA
LINC01770,0,NA,NA,NA,NA,NA
VWA1,1.0943601149772,0.155097855599257,0.304133369081088,0.52927271524896,0.596616280237362,0.999622655034924
ATAD3C,0.238354151706987,0.105587331245239,0.211830935548246,0.484268678210341,0.628195201819213,0.999622655034924
ATAD3B,0.768060666181236,-0.129449061397028,0.3039344445938,-0.422299372248649,0.672806516306439,0.999622655034924
ATAD3A,0.70393625331136,0.0192837945900929,0.287556860758249,0.0692445237950055,0.944794983271402,0.999622655034924
TMEM240,0.395855955916581,0.142776323948255,0.261832542195763,0.559196289733787,0.576027765027879,0.999622655034924
SSU72,2.1019255208228,0.0245798250525959,0.320895603891466,0.0759191037073439,0.939483458160547,0.999622655034924
AL645728.1,0,NA,NA,NA,NA,NA
FNDC10,0.0235513408326877,-0.00471306501635256,0.128662951185972,-0.0380970179284106,0.969610328934234,0.999622655034924
AL691432.4,0,NA,NA,NA,NA,NA
