gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AL627309.1,0,NA,NA,NA,NA,NA
AL627309.3,0,NA,NA,NA,NA,NA
AL627309.5,0.0603019939079273,0.0245401055712452,0.145407385211959,0.172004326786538,0.863434127413675,0.99859287036585
AP006222.2,0,NA,NA,NA,NA,NA
AL669831.2,0,NA,NA,NA,NA,NA
LINC01409,0.425030308373775,-0.325901259564712,0.262692757300885,-1.20644913816726,0.227644359114269,0.99859287036585
FAM87B,0,NA,NA,NA,NA,NA
LINC01128,0.452708752744055,-0.208324941397684,0.316571769076584,-0.643655463541405,0.519798875906916,0.99859287036585
LINC00115,0,NA,NA,NA,NA,NA
FAM41C,0,NA,NA,NA,NA,NA
AL645608.6,0,NA,NA,NA,NA,NA
AL645608.2,0,NA,NA,NA,NA,NA
LINC02593,0.0409899647744175,0.0130167285467602,0.14537199049678,0.0970559604243022,0.922681954174925,0.99859287036585
SAMD11,0,NA,NA,NA,NA,NA
NOC2L,0.212949271925136,0.0501011808164717,0.209419096575708,0.271093890270807,0.786318820551168,0.99859287036585
KLHL17,0.0193120291335098,0.0119680468094037,0.14536861149396,0.0831760491023079,0.933711556783698,0.99859287036585
PLEKHN1,0,NA,NA,NA,NA,NA
PERM1,0,NA,NA,NA,NA,NA
AL645608.7,0.102756573801937,-0.00274812134531493,0.145410854613451,-0.0204972804668337,0.983646681494887,0.99859287036585
HES4,0.731552875886304,-0.268191209528297,0.332207084067829,-0.82989098104624,0.406600424558118,0.99859287036585
ISG15,2.10990073134851,-0.247200773106946,0.324878208056829,-0.827080303862706,0.408191547085408,0.99859287036585
AL645608.1,0,NA,NA,NA,NA,NA
AGRN,0.865800716098969,-0.478636171668487,0.327558200439491,-1.48062184711486,0.138707370302307,0.99859287036585
C1orf159,0.218037152966936,0.00123576858000059,0.240319455847708,0.00531737469286726,0.995757368821594,0.999470451195894
AL390719.3,0.0491576298266453,0.0130167286446881,0.145371990497094,0.0970559608895506,0.922681953805454,0.99859287036585
LINC01342,0,NA,NA,NA,NA,NA
AL390719.2,0,NA,NA,NA,NA,NA
TTLL10,0,NA,NA,NA,NA,NA
TNFRSF18,0,NA,NA,NA,NA,NA
TNFRSF4,0.117009728166812,-0.0323128084120283,0.145407669274309,-0.253762220441538,0.799679261932126,0.99859287036585
SDF4,0.366471675371832,-0.00658472396343522,0.267705381079921,-0.0256760400569162,0.979515734820232,0.99859287036585
B3GALT6,0.128125994545056,-0.00274812133911094,0.145410854613469,-0.0204972804394621,0.983646681516722,0.99859287036585
C1QTNF12,0.11034165574051,-0.00274812134531492,0.145410854613451,-0.0204972804668337,0.983646681494887,0.99859287036585
AL162741.1,0,NA,NA,NA,NA,NA
UBE2J2,1.3578129662346,0.0443800141803441,0.338287188887282,0.138744249821588,0.889652249935037,0.99859287036585
LINC01786,0.0637736763232551,0.0130167287887956,0.145371990497557,0.0970559615742822,0.922681953261685,0.99859287036585
SCNN1D,0.0409899647744175,0.0130167285467602,0.14537199049678,0.0970559604243022,0.922681954174925,0.99859287036585
ACAP3,0.278867903714666,0.0251399158819339,0.282068946905596,0.0882141696859046,0.929706455441646,0.99859287036585
PUSL1,0.113176293650468,-0.00274812134531492,0.145410854613451,-0.0204972804668337,0.983646681494887,0.99859287036585
INTS11,0.242759445103545,0.278378982218927,0.264957500798782,1.08022680147047,0.280041196264845,0.99859287036585
AL139287.1,0,NA,NA,NA,NA,NA
CPTP,0.263264727165565,0.0327353222964304,0.222203575305552,0.153227046655009,0.878219229372994,0.99859287036585
TAS1R3,0,NA,NA,NA,NA,NA
DVL1,0.378565984146289,0.0139921744313654,0.273863442304003,0.0479226398774522,0.961777896104665,0.99859287036585
MXRA8,0,NA,NA,NA,NA,NA
AURKAIP1,0.314442661979389,-0.0161571340862258,0.261771670063692,-0.0676252577181726,0.946083948668818,0.99859287036585
CCNL2,3.49901760192961,-0.0522488076187117,0.305394038193596,-0.170771808971484,0.864403196602105,0.99859287036585
MRPL20-AS1,0.102757717024421,-0.0266612767593671,0.189829694067462,-0.133449395890822,0.893837982444132,0.99859287036585
MRPL20,1.02349841496916,-0.555648279528561,0.337228636704587,-1.67341616822446,0.0942453971368471,0.99859287036585
AL391244.2,0.0868541209565155,-0.0323128084120283,0.145407669274309,-0.253762220441538,0.799679261932126,0.99859287036585
ANKRD65,0.0467406401253417,-0.0165470743230195,0.145368481130708,-0.121948488029312,0.902939814269871,0.99859287036585
AL391244.1,0,NA,NA,NA,NA,NA
TMEM88B,0,NA,NA,NA,NA,NA
LINC01770,0,NA,NA,NA,NA,NA
VWA1,1.05775964673158,-0.459478117864845,0.338334124951455,-1.35499186726261,0.175420148172324,0.99859287036585
ATAD3C,0.234494198559798,0.0272919422291871,0.206612767541542,0.130093471886206,0.89649247490941,0.99859287036585
ATAD3B,0.264776339569203,0.0295733538811701,0.215997849283459,0.133917644369073,0.893467697774183,0.99859287036585
ATAD3A,0.323624608743016,0.236763592517151,0.254332393714654,0.922933866793963,0.356041670275446,0.99859287036585
TMEM240,0.124818015235286,-0.0238536347124865,0.165309139517033,-0.150239135539697,0.880575950589673,0.99859287036585
SSU72,1.05831867670546,-0.0161919847711284,0.339665084554625,-0.0473316470350231,0.962248905653253,0.99859287036585
AL645728.1,0.0467406401253417,-0.0165470743230195,0.145368481130708,-0.121948488029312,0.902939814269871,0.99859287036585
FNDC10,0.0396345195089711,-0.0165470743230195,0.145368481130708,-0.121948488029312,0.902939814269871,0.99859287036585
AL691432.4,0.0409899647744175,0.0130167285467602,0.14537199049678,0.0970559604243022,0.922681954174925,0.99859287036585
AL691432.2,0.147008676275826,-0.0323128084120283,0.145407669274309,-0.230240535266046,0.817904865234636,0.99859287036585
MIB2,0.538657512163065,-0.318758375046931,0.323048993798617,-0.976640477149649,0.32874717265042,0.99859287036585
MMP23B,0,NA,NA,NA,NA,NA
CDK11B,1.4200522865691,-0.0770656088708699,0.342041834837732,-0.225386022257464,0.821678984547649,0.99859287036585
FO704657.1,0,NA,NA,NA,NA,NA
SLC35E2B,0.534941278913924,0.0372060361173369,0.303846266692936,0.119005217959158,0.905271221828476,0.99859287036585
CDK11A,1.7743092445967,0.388274234399534,0.341824202822121,1.12675470009399,0.259846208139067,0.99859287036585
SLC35E2A,0.360086247730913,-0.0795307696051315,0.262687862870303,-0.319618472721481,0.749257569172609,0.99859287036585
NADK,0.866514849369394,0.0304299006988269,0.321163117892109,0.0941196171870595,0.925014137292031,0.99859287036585
GNB1,11.5911739312628,-0.146378850367384,0.26200320028151,-0.558376022938261,0.576587642125751,0.99859287036585
AL109917.1,0,NA,NA,NA,NA,NA
CALML6,0,NA,NA,NA,NA,NA
TMEM52,0,NA,NA,NA,NA,NA
CFAP74,0.0389364933609833,0.0130167285194982,0.145371990496692,0.0970559602947915,0.922681954277774,0.99859287036585
AL391845.2,0,NA,NA,NA,NA,NA
GABRD,0,NA,NA,NA,NA,NA
PRKCZ,0.0643523182218013,-0.0165470743230195,0.145368481130708,-0.121948488029312,0.902939814269871,0.99859287036585
AL590822.2,0,NA,NA,NA,NA,NA
PRKCZ-AS1,0,NA,NA,NA,NA,NA
FAAP20,0.260312082365148,0.124171304651571,0.283033602944778,0.435584561775889,0.663138173826692,0.99859287036585
AL590822.1,0.111571919669346,-0.0323128084120283,0.145407669274309,-0.253762220441538,0.799679261932126,0.99859287036585
SKI,5.45333446479494,0.209061563084116,0.304724208278724,0.687479008275021,0.491780924531606,0.99859287036585
AL590822.3,0,NA,NA,NA,NA,NA
MORN1,0.0939602415728861,-0.0323128084120283,0.145407669274309,-0.253762220441538,0.799679261932126,0.99859287036585
AL589739.1,0,NA,NA,NA,NA,NA
