gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NTM-AS1,16.243376689809,-0.997055593477948,0.168248449416908,-5.78253446123749,7.35834889606458e-09,0.000212501757769449
EMX2,186.129764025542,-0.719062742242259,0.151664855613731,-4.72295521666402,2.32442048130187e-06,0.0335634695397583
